t,i,q
-1.6304,-2.2145336,2.4502439
-1.63,-2.2141567,2.4504474
-1.6296,-2.214298,2.4503061
-1.6292,-2.2140927,2.4501007
-1.6288,-2.2142547,2.4503061
-1.6284,-2.2143112,2.4505285
-1.628,-2.215862,2.496952
-1.6276,-2.2101747,2.5737739
-1.6272,-2.2194405,2.5827363
-1.6268,-2.2216209,2.584749
-1.6264,-2.2218357,2.5848168
-1.626,-2.2218734,2.585124
-1.6256,-2.2219074,2.5848922
-1.6252,-2.2216002,2.5849091
-1.6248,-2.221962,2.5847282
-1.6244,-2.2219073,2.5847282
-1.624,-2.2218734,2.5845304
-1.6236,-2.2219827,2.5846698
-1.6232,-2.2220506,2.5851786
-1.6228,-2.2077923,2.6591836
-1.6224,-2.1969507,2.7097262
-1.622,-2.2036447,2.7172721
-1.6216,-2.2048106,2.7181164
-1.6212,-2.2048935,2.7177546
-1.6208,-2.2047974,2.7178941
-1.6204,-2.2049538,2.7178941
-1.62,-2.2048445,2.7173444
-1.6196,-2.205033,2.7173444
-1.6192,-2.20544,2.7173444
-1.6188,-2.2052685,2.7173444
-1.6184,-2.2051875,2.7175335
-1.618,-2.204342,2.7194141
-1.6176,-2.1620033,2.8236619
-1.6172,-2.1599159,2.8387964
-1.6168,-2.163685,2.8424958
-1.6164,-2.1640411,2.8432866
-1.616,-2.1639431,2.8429789
-1.6156,-2.1640694,2.8420756
-1.6152,-2.1639846,2.8423526
-1.6148,-2.1639431,2.8420304
-1.6144,-2.1640437,2.842362
-1.614,-2.1641033,2.8422659
-1.6136,-2.1645261,2.8424487
-1.6132,-2.1642183,2.8425015
-1.6128,-2.1436901,2.877656
-1.6124,-2.0937421,2.946372
-1.612,-2.0993576,2.9536288
-1.6116,-2.1010838,2.9556742
-1.6112,-2.1012346,2.956036
-1.6108,-2.1013571,2.9556912
-1.6104,-2.1012478,2.9557873
-1.61,-2.1014683,2.9555668
-1.6096,-2.1012327,2.9551597
-1.6092,-2.101391,2.9557251
-1.6088,-2.1014683,2.9554292
-1.6084,-2.1014683,2.9556271
-1.608,-2.1007491,2.9559845
-1.6076,-2.0381923,3.0228564
-1.6072,-2.0097024,3.0451099
-1.6068,-2.0161001,3.0532489
-1.6064,-2.0171617,3.0547132
-1.606,-2.0172974,3.0548036
-1.6056,-2.0171787,3.0540693
-1.6052,-2.0172899,3.0540203
-1.6048,-2.0171957,3.0537923
-1.6044,-2.0177654,3.0536057
-1.604,-2.0170619,3.0542288
-1.6036,-2.0173527,3.0542867
-1.6032,-2.0176115,3.0536924
-1.6028,-2.0049145,3.063315
-1.6024,-1.919901,3.1143178
-1.602,-1.9121089,3.12812
-1.6016,-1.9154369,3.1328362
-1.6012,-1.9157541,3.132938
-1.6008,-1.9160883,3.1331566
-1.6004,-1.9158527,3.1328287
-1.6,-1.9158527,3.132938
-1.5996,-1.9158527,3.1328287
-1.5992,-1.9155612,3.1334876
-1.5988,-1.9156618,3.1332967
-1.5984,-1.9158075,3.1327703
-1.598,-1.9157522,3.1330134
-1.5976,-1.8830913,3.1473613
