t, i, q
-1.447600E+00,+84.422E-03,-8.040E-03
-1.445100E+00,+84.422E-03,-7.538E-03
-1.442600E+00,+82.412E-03,-2.010E-03
-1.440100E+00,+82.915E-03,-1.005E-03
-1.437600E+00,+82.412E-03,-4.020E-03
-1.435100E+00,+82.412E-03,+503E-06
-1.432600E+00,+82.412E-03,+1.005E-03
-1.430100E+00,+80.905E-03,+2.010E-03
-1.427600E+00,+76.382E-03,+6.030E-03
-1.425100E+00,+80.402E-03,+5.025E-03
-1.422600E+00,+80.402E-03,+6.030E-03
-1.420100E+00,+78.894E-03,+9.548E-03
-1.417600E+00,+80.402E-03,+10.050E-03
-1.415100E+00,+75.879E-03,+14.573E-03
-1.412600E+00,+75.377E-03,+13.065E-03
-1.410100E+00,+76.382E-03,+14.070E-03
-1.407600E+00,+74.372E-03,+18.090E-03
-1.405100E+00,+73.869E-03,+18.593E-03
-1.402600E+00,+75.377E-03,+18.090E-03
-1.400100E+00,+73.367E-03,+20.101E-03
-1.397600E+00,+70.352E-03,+20.101E-03
-1.395100E+00,+70.352E-03,+21.608E-03
-1.392600E+00,+69.347E-03,+23.116E-03
-1.390100E+00,+68.342E-03,+23.618E-03
-1.387600E+00,+64.322E-03,+28.141E-03
-1.385100E+00,+64.824E-03,+29.146E-03
-1.382600E+00,+64.322E-03,+27.136E-03
-1.380100E+00,+59.799E-03,+30.653E-03
-1.377600E+00,+62.312E-03,+30.151E-03
-1.375100E+00,+60.302E-03,+31.156E-03
-1.372600E+00,+57.286E-03,+32.161E-03
-1.370100E+00,+59.799E-03,+32.161E-03
-1.367600E+00,+58.291E-03,+34.171E-03
-1.365100E+00,+54.271E-03,+35.678E-03
-1.362600E+00,+56.281E-03,+36.181E-03
-1.360100E+00,+54.271E-03,+36.181E-03
-1.357600E+00,+50.251E-03,+36.181E-03
-1.355100E+00,+52.764E-03,+36.181E-03
-1.352600E+00,+47.236E-03,+40.201E-03
-1.350100E+00,+48.744E-03,+37.688E-03
-1.347600E+00,+46.231E-03,+38.191E-03
-1.345100E+00,+43.719E-03,+40.201E-03
-1.342600E+00,+43.216E-03,+40.201E-03
-1.340100E+00,+44.221E-03,+41.709E-03
-1.337600E+00,+42.211E-03,+42.211E-03
-1.335100E+00,+42.211E-03,+39.196E-03
-1.332600E+00,+38.191E-03,+41.206E-03
-1.330100E+00,+34.673E-03,+42.211E-03
-1.327600E+00,+34.171E-03,+42.211E-03
-1.325100E+00,+34.673E-03,+44.221E-03
-1.322600E+00,+30.151E-03,+43.216E-03
-1.320100E+00,+30.653E-03,+43.719E-03
-1.317600E+00,+24.121E-03,+42.211E-03
-1.315100E+00,+26.633E-03,+43.719E-03
-1.312600E+00,+27.136E-03,+43.216E-03
-1.310100E+00,+22.111E-03,+44.221E-03
-1.307600E+00,+24.121E-03,+42.211E-03
-1.305100E+00,+22.111E-03,+45.729E-03
-1.302600E+00,+20.101E-03,+42.211E-03
-1.300100E+00,+18.593E-03,+44.221E-03
-1.297600E+00,+18.090E-03,+40.201E-03
-1.295100E+00,+12.563E-03,+42.211E-03
-1.292600E+00,+14.070E-03,+42.211E-03
-1.290100E+00,+10.553E-03,+41.206E-03
-1.287600E+00,+12.060E-03,+42.211E-03
-1.285100E+00,+10.553E-03,+42.211E-03
-1.282600E+00,+8.040E-03,+39.196E-03
-1.280100E+00,+5.528E-03,+41.206E-03
-1.277600E+00,+10.050E-03,+40.201E-03
-1.275100E+00,+2.513E-03,+38.693E-03
-1.272600E+00,+4.020E-03,+40.201E-03
-1.270100E+00,+1.005E-03,+38.191E-03
-1.267600E+00,-2.010E-03,+36.181E-03
-1.265100E+00,+0.0E+00,+38.191E-03
-1.262600E+00,-3.015E-03,+38.191E-03
-1.260100E+00,-4.020E-03,+35.678E-03
-1.257600E+00,-6.030E-03,+36.181E-03
-1.255100E+00,-9.548E-03,+33.668E-03
-1.252600E+00,-9.045E-03,+35.176E-03
-1.250100E+00,-6.533E-03,+36.181E-03
-1.247600E+00,-12.060E-03,+32.161E-03
-1.245100E+00,-10.553E-03,+31.658E-03
-1.242600E+00,-11.055E-03,+32.161E-03
-1.240100E+00,-14.070E-03,+28.141E-03
-1.237600E+00,-12.060E-03,+26.131E-03
-1.235100E+00,-14.573E-03,+28.643E-03
-1.232600E+00,-18.090E-03,+25.126E-03
-1.230100E+00,-17.588E-03,+24.623E-03
-1.227600E+00,-16.080E-03,+26.131E-03
-1.225100E+00,-21.608E-03,+24.121E-03
-1.222600E+00,-19.095E-03,+23.116E-03
-1.220100E+00,-22.111E-03,+18.090E-03
-1.217600E+00,-24.121E-03,+20.101E-03
-1.215100E+00,-23.116E-03,+20.101E-03
-1.212600E+00,-24.121E-03,+16.080E-03
-1.210100E+00,-27.136E-03,+17.588E-03
-1.207600E+00,-26.131E-03,+14.070E-03
-1.205100E+00,-27.638E-03,+12.060E-03
-1.202600E+00,-25.126E-03,+11.055E-03
-1.200100E+00,-27.638E-03,+13.065E-03
-1.197600E+00,-26.131E-03,+8.040E-03
-1.195100E+00,-28.141E-03,+8.543E-03
-1.192600E+00,-31.156E-03,+5.025E-03
-1.190100E+00,-30.653E-03,+7.035E-03
-1.187600E+00,-30.151E-03,+6.030E-03
-1.185100E+00,-32.663E-03,+503E-06
-1.182600E+00,-32.161E-03,-1.005E-03
-1.180100E+00,-34.171E-03,+2.010E-03
-1.177600E+00,-32.161E-03,-2.010E-03
-1.175100E+00,-34.171E-03,-4.020E-03
-1.172600E+00,-34.171E-03,-4.020E-03
-1.170100E+00,-35.678E-03,-6.030E-03
-1.167600E+00,-36.181E-03,-10.050E-03
-1.165100E+00,-34.673E-03,-7.538E-03
-1.162600E+00,-38.191E-03,-10.050E-03
-1.160100E+00,-35.678E-03,-12.060E-03
-1.157600E+00,-38.191E-03,-16.080E-03
-1.155100E+00,-36.181E-03,-17.588E-03
-1.152600E+00,-35.176E-03,-14.070E-03
-1.150100E+00,-30.151E-03,+11.558E-03
-1.147600E+00,-32.161E-03,+12.060E-03
-1.145100E+00,-31.658E-03,+12.060E-03
-1.142600E+00,-32.161E-03,+9.045E-03
-1.140100E+00,-32.161E-03,+7.538E-03
-1.137600E+00,-30.151E-03,+6.030E-03
-1.135100E+00,-33.668E-03,+2.513E-03
-1.132600E+00,-34.171E-03,+4.020E-03
-1.130100E+00,-34.171E-03,+4.020E-03
-1.127600E+00,-36.181E-03,+0.0E+00
-1.125100E+00,-37.186E-03,+0.0E+00
-1.122600E+00,-36.181E-03,-1.005E-03
-1.120100E+00,-41.206E-03,-4.523E-03
-1.117600E+00,-38.191E-03,-8.040E-03
-1.115100E+00,-39.698E-03,-10.050E-03
-1.112600E+00,-38.191E-03,-10.050E-03
-1.110100E+00,-40.201E-03,-10.050E-03
-1.107600E+00,-38.191E-03,-16.080E-03
-1.105100E+00,-38.191E-03,-15.578E-03
-1.102600E+00,-38.191E-03,-11.055E-03
